Date,"Spend (Cost, Amount Spent)",Action Link Clicks,Impressions,Action Leads,Ad ID,Ad Name,Instagram Permalink URL,Adset Name,Campaign ID,Campaign Name,Action Landing Page View,Action Video View,Video 15 Sec Watched Actions,Video 50 Percent Watched Actions,Video 75 Percent Watched Actions,Video 95 Percent Watched Actions
2026-06-07,"44,8",1,521,0,120247951235030229,teste-tmb_jun26-lead-adc03,https://www.instagram.com/p/DZGFAgdAAt3/,TMB_jun26-lead-adc03-ca01-base-clientes_lookalike1p,120247951235080229,perpetuo-lead-frio-LL1pct-nova_pg-teste_ads-leva_03,0,0,0,0,0,0
2026-06-07,"54,66",3,450,0,120247959088940229,teste-tmb_jun26-lead-adi05,https://www.instagram.com/p/DZGFAsigMPg/,TMB_jun26-lead-adi05-ca01-base-clientes_lookalike1p,120247959088910229,perpetuo-lead-frio-LL1pct-nova_pg-teste_ads-leva_05,3,1,0,0,0,0
2026-06-07,"64,29",2,441,0,120247954574210229,teste-tmb_jun26-lead-adc07,https://www.instagram.com/p/DZGFAwTAPIq/,TMB_jun26-lead-adc07-ca01-base-clientes_lookalike1p,120247954574120229,perpetuo-lead-frio-LL1pct-nova_pg-teste_ads-leva_04,2,0,0,0,0,0
2026-06-07,"65,3",5,496,0,120247951235010229,teste-tmb_jun26-lead-adc01,https://www.instagram.com/p/DZGFAjTAO2-/,TMB_jun26-lead-adc01-ca01-base-clientes_lookalike1p,120247951235080229,perpetuo-lead-frio-LL1pct-nova_pg-teste_ads-leva_03,1,0,0,0,0,0
2026-06-07,"98,94",14,1731,3,120247959478540229,teste-tmb_jun26-lead-adv04,https://www.instagram.com/p/DZGFB3LANBP/,TMB_jun26-lead-adv04-ca01-base-clientes_lookalike1p,120247959478610229,perpetuo-lead-frio-LL1pct-nova_pg-teste_ads-leva_07,9,462,66,70,33,22
2026-06-07,"104,03",12,1268,2,120244464756610229,Tmb_fev26-lead-adv04,https://www.instagram.com/p/DW7tt6UgFAk/,drop-30_44,120243514966280229,perpetuo-lead-frio-drop-mista-nova_pg,10,273,63,38,24,20
2026-06-07,"114,18",40,1812,2,120246790260250229,tmb_mai26-lead-adv04,https://www.instagram.com/p/DYVx2HygOck/,lead-aberta,120246790165500229,perpetuo-lead-frio-aberta-mql_300k-leva_02,26,471,120,90,69,19
2026-06-07,"127,56",3,1257,1,120247959308220229,teste-tmb_jun26-lead-adi11,https://www.instagram.com/p/DZGFApeAKA4/,TMB_jun26-lead-adi11-ca01-base-clientes_lookalike1p,120247959308170229,perpetuo-lead-frio-LL1pct-nova_pg-teste_ads-leva_06,2,7,0,0,0,0
2026-06-07,"138,67",17,1524,1,120247966513260229,tmb_julho25-lead-adi02,https://www.instagram.com/p/DZoLZOcgMsY/,lead-publico_sugerido,120247966513250229,perpetuo-lead-frio-publico_sugerido-nova_pg-v2,8,91,56,109,77,58
2026-06-07,"150,14",4,990,1,120246790260280229,tmb_abr26-lead-adi12,https://www.instagram.com/p/DYc0AkvgJIP/,lead-aberta,120246790165500229,perpetuo-lead-frio-aberta-mql_300k-leva_02,4,0,0,0,0,0
2026-06-07,"205,85",19,2796,3,120247572122990229,teste-tmb_mai26-lead-adc17,https://www.instagram.com/p/DY6Hzh6ALZR/,TMB_mai26-lead-adc17-ca01-base-clientes_lookalike1p,120247572122080229,perpetuo-lead-frio-LL1pct-nova_pg-teste_ads-leva_01,17,0,0,0,0,0
2026-06-07,"219,79",43,3514,5,120247966513420229,tmb_jan26-lead-adv11,https://www.instagram.com/p/DZoLZ1igPg3/,lead-publico_sugerido,120247966513250229,perpetuo-lead-frio-publico_sugerido-nova_pg-v2,28,435,168,276,207,177
2026-06-07,"275,42",27,2809,1,120247257828330229,tmb_abr26-lead-adi12,https://www.instagram.com/p/DYuzv6IAF7i/,lead-aberta,120247257827500229,perpetuo-lead-frio-aberta-mql_300k-leva_03,6,0,0,0,0,0
2026-06-07,"364,24",49,4740,9,120243515722440229,tmb_out23-lead-boleto-adv01-3-nova_pg,https://www.instagram.com/p/DWQCpBEAKw5/,drop-30_44,120243514966280229,perpetuo-lead-frio-drop-mista-nova_pg,34,1253,245,80,51,32
2026-06-07,"454,56",56,9654,7,120245545954430229,tmb_jan26-lead-adv11-nova_pg,https://www.instagram.com/p/DXpWdIaAAFg/,lead-aberta,120245545954440229,perpetuo-lead-frio-aberta-mql_300k,40,703,210,399,272,214
2026-06-07,"525,53",93,13394,6,120243515653170229,tmb_jan26-lead-adv11-nova_pg,https://www.instagram.com/p/DWQCpLQACA6/,envolvidos_engajados-30_44,120243514966750229,perpetuo-lead-quente-nova_pg,61,1018,324,593,421,334
